state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
30000	-1567240.9023561825	-15789.414733682559	-1551451.4876225	2055.449923119045	-29.458142297127097	3732.027515335165	10.230045456351624	-7.380974464676893E-4	7.4484720783472556	0.34937028852580837	0.19629498892753533	0.19098470276223825	0.26335001978441824	0.12668550531744865	0.12668550531744893	-1551451.4876225	0.0	-15316.49126229496
60000	-1359327.909264419	-18673.14086421606	-1340654.768400203	2056.146851499044	-30.155070677126105	4087.0552965693837	19.267254339807824	-7.380974464676893E-4	7.487330551236029	0.35283938158270456	0.1969897042577588	0.18727545774089607	0.2628954564186408	0.07880122320675496	0.07880122320675524	-1340654.768400203	0.0	-18350.58740700831
90000	-1183776.8263608408	-20897.52745337182	-1162879.298907469	2055.790666666342	-29.798885844424376	4486.481286442022	32.58865567854056	-7.380974464676893E-4	7.555370727663509	0.3531731766120876	0.19648360295702313	0.1897809948902706	0.26056222554061886	0.05480804603315	0.05480804603314987	-1162879.298907469	0.0	-20650.831351797955
120000	-1065140.6702425997	-22564.80819436245	-1042575.8620482372	2055.2213408461353	-29.229560024217562	4883.063159771753	46.55551726801929	-7.380974464676893E-4	7.374692691097882	0.35179329060262643	0.19514979430537494	0.19222369020076532	0.26083322489123345	0.040177266972963505	0.040177266972963296	-1042575.8620482372	0.0	-22367.70002460759
150000	-970233.1607561447	-23812.71076896942	-946420.4499871753	2054.914291039943	-28.92251021802508	5231.197551753787	63.139430958061695	-6.697351953641739E-4	7.204216175205185	0.3560800463025262	0.1931675707128831	0.18969132713173512	0.26106105585285566	0.03149363067005849	0.03149363067005859	-946420.4499871753	0.0	-23646.931039773885
180000	-894062.4969433465	-24988.225132201464	-869074.271811145	2054.622901971168	-28.631121149250475	5621.783228485256	83.23021754346675	7.161204021097767E-4	7.109068659840309	0.35491842253633793	0.19281824121882493	0.1917541362527454	0.2605091999920919	0.025772016482219284	0.025772016482219256	-869074.271811145	0.0	-24842.191589605714
210000	-832120.0420798277	-25884.200262338174	-806235.8418174896	2048.3937318340463	-22.40195101212862	5938.773404197949	100.36332922210165	7.161204021097767E-4	7.10320986770962	0.3555839856114321	0.19177851121666628	0.19018863084396462	0.262448872327937	0.021706161648228414	0.02170616164822847	-806235.8418174896	0.0	-25754.070852773497
240000	-781112.9248912692	-26614.106813140275	-754498.8180781289	2066.007386778732	-40.01560595681417	6302.251080648886	116.05546195040979	7.161204021097767E-4	7.094484271667874	0.35962468285394183	0.19155292364835538	0.18945549258858008	0.2593669009091226	0.018442155609737235	0.018442155609737283	-754498.8180781289	0.0	-26496.62617761603
270000	-739376.1421322791	-27217.000592875513	-712159.1415394036	2066.870269857167	-40.87848903524923	6589.114191267343	138.02181730816443	7.161204021097767E-4	7.158909845899015	0.35685699099973994	0.1931025408346282	0.18900819932040258	0.26103226884522907	0.016209451822488053	0.016209451822488098	-712159.1415394036	0.0	-27108.839941647628
300000	-704881.3999408801	-27763.068724381377	-677118.3312164987	2045.9422780962664	-19.950497274348663	6827.748954308479	152.19615009066752	7.161204021097767E-4	7.21545268453502	0.3576178885956098	0.18978632881159313	0.1905205155914318	0.2620752670013652	0.01442251219963629	0.014422512199636233	-677118.3312164987	0.0	-27663.206378643357
330000	-668615.8598797004	-28120.20173975741	-640495.6581399429	2047.4419225442728	-21.450141722355056	7048.531067068772	169.72693971756996	0.0014010057030739986	7.121083369546542	0.3606846913041803	0.19123988378486462	0.1868368384996845	0.26123858641127046	0.012806661867847735	0.012806661867847818	-640495.6581399429	0.0	-28028.53148635898
360000	-640399.681763499	-28509.00184759913	-611890.6799158999	2067.4907816380965	-41.49900081617875	7328.755526899722	184.8384454906296	0.0014010057030739986	7.164839812712413	0.35970060785980446	0.18840473873044605	0.19175530373928173	0.2601393496704676	0.011710448514410294	0.011710448514410313	-611890.6799158999	0.0	-28421.745764406256
390000	-616819.1787819243	-28810.631387387864	-588008.5473945364	2052.0055745688123	-26.013793746894635	7500.445821446299	191.659255040005	0.0014010057030739986	7.207750597481935	0.35841415521020653	0.18922298847111124	0.1913365796642711	0.2610262766544109	0.010790721236666532	0.01079072123666656	-588008.5473945364	0.0	-28728.269650907037
