name	state
A/swine/Ohio/10SW139/2010|A_/_H3N2|unassigned|2010-08-12|HA|4|EPI_ISL_133845	Ohio
A/swine/Ohio/10SW205/2010|A_/_H3N2|unassigned|2010-08-24|HA|4|EPI_ISL_133850	Ohio
A/swine/Ohio/10SW206/2010|A_/_H3N2|unassigned|2010-08-24|HA|4|EPI_ISL_133851	Ohio
A/swine/Ohio/10SW203/2010|A_/_H3N2|unassigned|2010-08-24|HA|4|EPI_ISL_133848	Ohio
A/swine/Ohio/10SW209/2010|A_/_H3N2|unassigned|2010-08-24|HA|4|EPI_ISL_133854	Ohio
A/swine/Ohio/10SW210/2010|A_/_H3N2|unassigned|2010-08-24|HA|4|EPI_ISL_133855	Ohio
A/swine/Ohio/10SW207/2010|A_/_H3N2|unassigned|2010-08-24|HA|4|EPI_ISL_133852	Ohio
A/swine/Ohio/10SW208/2010|A_/_H3N2|unassigned|2010-08-24|HA|4|EPI_ISL_133853	Ohio
A/swine/Ohio/10SW213/2010|A_/_H3N2|unassigned|2010-08-24|HA|4|EPI_ISL_133858	Ohio
A/swine/Ohio/10SW214/2010|A_/_H3N2|unassigned|2010-08-24|HA|4|EPI_ISL_133859	Ohio
A/swine/Ohio/10SW211/2010|A_/_H3N2|unassigned|2010-08-24|HA|4|EPI_ISL_133856	Ohio
A/swine/Ohio/10SW212/2010|A_/_H3N2|unassigned|2010-08-24|HA|4|EPI_ISL_133857	Ohio
A/swine/Ohio/10SW219/2010|A_/_H3N2|unassigned|2010-08-24|HA|4|EPI_ISL_133862	Ohio
A/swine/Ohio/10SW220/2010|A_/_H3N2|unassigned|2010-08-24|HA|4|EPI_ISL_133863	Ohio
A/swine/Ohio/10SW216/2010|A_/_H3N2|unassigned|2010-08-24|HA|4|EPI_ISL_133860	Ohio
A/swine/Ohio/10SW122/2010|A_/_H3N2|unassigned|2010-08-12|HA|4|EPI_ISL_133833	Ohio
A/swine/Ohio/10SW127/2010|A_/_H3N2|unassigned|2010-08-12|HA|4|EPI_ISL_133836	Ohio
A/swine/Ohio/10SW133/2010|A_/_H3N2|unassigned|2010-08-12|HA|4|EPI_ISL_133840	Ohio
A/swine/Ohio/10SW204/2010|A_/_H3N2|unassigned|2010-08-24|HA|4|EPI_ISL_133849	Ohio
A/swine/Ohio/11SW109/2011|A_/_H3N2|unassigned|2011-08-05|HA|4|EPI_ISL_133866	Ohio
A/swine/Ohio/11SW112/2011|A_/_H3N2|unassigned|2011-08-05|HA|4|EPI_ISL_133867	Ohio
A/swine/Ohio/11SW103/2011|A_/_H3N2|unassigned|2011-08-05|HA|4|EPI_ISL_133864	Ohio
A/swine/Ohio/11SW113/2011|A_/_H3N2|unassigned|2011-08-05|HA|4|EPI_ISL_133868	Ohio
A/swine/Ohio/11SW96/2011|A_/_H3N2|unassigned|2011-08-05|HA|4|EPI_ISL_133877	Ohio
A/swine/Ohio/11SW163/2011|A_/_H3N2|unassigned|2011-08-08|HA|4|EPI_ISL_133899	Ohio
A/swine/Ohio/11SW175/2011|A_/_H3N2|unassigned|2011-08-08|HA|4|EPI_ISL_133908	Ohio
A/swine/Ohio/11SW208/2011|A_/_H3N2|unassigned|2011-06-01|HA|4|EPI_ISL_142723	Ohio
A/swine/Ohio/11SW108/2011|A_/_H3N2|unassigned|2011-08-05|HA|4|EPI_ISL_133865	Ohio
A/swine/Ohio/11SW173/2011|A_/_H3N2|unassigned|2011-08-08|HA|4|EPI_ISL_133906	Ohio
A/swine/Ohio/11SW196/2011|A_/_H3N2|unassigned|2011-08-08|HA|4|EPI_ISL_133921	Ohio
A/swine/Ohio/11SW95/2011|A_/_H3N2|unassigned|2011-08-05|HA|4|EPI_ISL_133876	Ohio
A/swine/Ohio/11SW172/2011|A_/_H3N2|unassigned|2011-08-08|HA|4|EPI_ISL_133905	Ohio
A/swine/Ohio/11SW115/2011|A_/_H3N2|unassigned|2011-08-05|HA|4|EPI_ISL_133870	Ohio
A/swine/Ohio/11SW118/2011|A_/_H3N2|unassigned|2011-08-05|HA|4|EPI_ISL_133871	Ohio
A/swine/Ohio/11SW114/2011|A_/_H3N2|unassigned|2011-08-05|HA|4|EPI_ISL_133869	Ohio
A/swine/Ohio/11SW94/2011|A_/_H3N2|unassigned|2011-08-05|HA|4|EPI_ISL_133875	Ohio
A/swine/Ohio/11SW161/2011|A_/_H3N2|unassigned|2011-08-08|HA|4|EPI_ISL_133898	Ohio
A/swine/Ohio/11SW169/2011|A_/_H3N2|unassigned|2011-08-08|HA|4|EPI_ISL_133902	Ohio
A/swine/Ohio/11SW170/2011|A_/_H3N2|unassigned|2011-08-08|HA|4|EPI_ISL_133903	Ohio
A/swine/Ohio/11SW179/2011|A_/_H3N2|unassigned|2011-08-08|HA|4|EPI_ISL_133910	Ohio
A/swine/Ohio/11SW180/2011|A_/_H3N2|unassigned|2011-08-08|HA|4|EPI_ISL_133911	Ohio
A/swine/Ohio/11SW185/2011|A_/_H3N2|unassigned|2011-08-08|HA|4|EPI_ISL_133914	Ohio
A/swine/Ohio/11SW186/2011|A_/_H3N2|unassigned|2011-08-08|HA|4|EPI_ISL_133915	Ohio
A/swine/Ohio/11SW183/2011|A_/_H3N2|unassigned|2011-08-08|HA|4|EPI_ISL_133912	Ohio
A/swine/Ohio/11SW191/2011|A_/_H3N2|unassigned|2011-08-08|HA|4|EPI_ISL_133918	Ohio
A/swine/Ohio/11SW187/2011|A_/_H3N2|unassigned|2011-08-08|HA|4|EPI_ISL_133916	Ohio
A/swine/Ohio/11SW197/2011|A_/_H3N2|unassigned|2011-08-08|HA|4|EPI_ISL_133922	Ohio
A/swine/Ohio/11SW211/2011|A_/_H3N2|unassigned|2011-08-12|HA|4|EPI_ISL_133933	Ohio
A/swine/Ohio/11SW347/2011|A_/_H3N2|unassigned|2011-08-19|HA|4|EPI_ISL_133955	Ohio
A/swine/Ohio/11SW111/2011|A_/_H3N2|unassigned|2011-06-01|HA|4|EPI_ISL_142724	Ohio
A/swine/Ohio/11SW93/2011|A_/_H3N2|unassigned|2011-08-05|HA|4|EPI_ISL_133874	Ohio
A/swine/Ohio/11SW119/2011|A_/_H3N2|unassigned|2011-08-05|HA|4|EPI_ISL_133872	Ohio
A/swine/Ohio/11SW97/2011|A_/_H3N2|unassigned|2011-08-05|HA|4|EPI_ISL_133878	Ohio
A/swine/Ohio/11SW98/2011|A_/_H3N2|unassigned|2011-08-05|HA|4|EPI_ISL_133879	Ohio
A/swine/Ohio/11SW166/2011|A_/_H3N2|unassigned|2011-08-08|HA|4|EPI_ISL_133900	Ohio
A/swine/Ohio/11SW87/2011|A_/_H3N2|unassigned|2011-08-05|HA|4|EPI_ISL_133873	Ohio
A/swine/Ohio/7/2012|A_/_H3N2|unassigned|2012-06-01|HA|4|EPI_ISL_123129	Ohio
A/swine/Ohio/9/2012|A_/_H3N2|unassigned|2012-06-01|HA|4|EPI_ISL_123128	Ohio
A/swine/Ohio/1/2012|A_/_H3N2|unassigned|2012-06-01|HA|4|EPI_ISL_122021	Ohio
A/swine/Illinois/A01203672/2012|A_/_H3N2|unassigned|2012-07-21|HA|4|EPI_ISL_129377	Illinois
A/swine/Illinois/A01241916/2012|A_/_H3N2|unassigned|2012-03-01|HA|4|EPI_ISL_124317	Illinois
A/swine/Illinois/A01241871/2012|A_/_H3N2|unassigned|2012-02-29|HA|4|EPI_ISL_124883	Illinois
A/swine/Illinois/A01241876/2012|A_/_H3N2|unassigned|2012-02-29|HA|4|EPI_ISL_130093	Illinois
A/swine/North_Carolina/A01290447/2013|A_/_H3N2|unassigned|2013-09-01|HA|4|EPI_ISL_151713	North_Carolina
A/swine/Indiana/A01260371/2013|A_/_H3N2|unassigned|2013-08-19|HA|4|EPI_ISL_151703	Indiana
A/swine/Indiana/A01260368/2013|A_/_H3N2|unassigned|2013-08-19|HA|4|EPI_ISL_151704	Indiana
A/swine/Indiana/13TOSU1035/2013|A_/_H3N2|unassigned|2013-07-01|HA|4|EPI_ISL_161124	Indiana
A/swine/Indiana/13TOSU1026/2013|A_/_H3N2|unassigned|2013-07-01|HA|4|EPI_ISL_161180	Indiana
A/swine/Indiana/A01432300/2013|A_/_H3N2|unassigned|2013-01-01|HA|4|EPI_ISL_136568	Indiana
A/swine/Indiana/A01260361/2013|A_/_H3N2|unassigned|2013-08-08|HA|4|EPI_ISL_149658	Indiana
A/swine/North_Carolina/A01290778/2013|A_/_H3N2|unassigned|2013-11-01|HA|4|EPI_ISL_153756	North_Carolina
A/swine/North_Carolina/A01475217/2014|A_/_H3N2|unassigned|2014-03-01|HA|4|EPI_ISL_162025	North_Carolina
A/swine/North_Carolina/A01410511/2014|A_/_H3N2|unassigned|2014-03-01|HA|4|EPI_ISL_162320	North_Carolina
A/swine/Indiana/A01260093/2012|A_/_H3N2|unassigned|2012-10-30|HA|4|EPI_ISL_132939	Indiana
A/swine/North_Carolina/A01409104/2013|A_/_H3N2|unassigned|2013-10-01|HA|4|EPI_ISL_153747	North_Carolina
A/swine/Iowa/A01290867/2013|A_/_H3N2|unassigned|2013-11-01|HA|4|EPI_ISL_155701	Iowa
A/swine/Illinois/A01509203/2014|A_/_H3N2|unassigned|2014-04-15|HA|4|EPI_ISL_162554	Illinois
A/swine/Illinois/A01509186/2014|A_/_H3N2|unassigned|2014-04-15|HA|4|EPI_ISL_162552	Illinois
A/swine/Illinois/A01509209/2014|A_/_H3N2|unassigned|2014-04-15|HA|4|EPI_ISL_162556	Illinois
A/swine/California/A00968949/2014|A_/_H3N2|unassigned|2014-07-02|HA|4|EPI_ISL_167220	California
A/swine/Indiana/A01260280/2013|A_/_H3N2|unassigned|2013-04-19|HA|4|EPI_ISL_143498	Indiana
A/swine/Maryland/A01319694/2013|A_/_H3N2|unassigned|2013-04-10|HA|4|EPI_ISL_146093	Maryland
A/swine/Indiana/A00968364/2012|A_/_H3N2|unassigned|2012-07-03|HA|4|EPI_ISL_151699	Indiana
A/swine/Ohio/A00138552/2012|A_/_H3N2|unassigned|2012-09-02|HA|4|EPI_ISL_131252	Ohio
A/swine/Ohio/12TOSU318/2012|A_/_H3N2|unassigned|2012-08-03|HA|4|EPI_ISL_139858	Ohio
A/swine/Iowa/A01267939/2012|A_/_H3N2|unassigned|2012-10-24|HA|4|EPI_ISL_132329	Iowa
A/swine/Iowa/A01203863/2012|A_/_H3N2|unassigned|2012-10-01|HA|4|EPI_ISL_132357	Iowa
A/swine/Ohio/13TOSU2052/2013|A_/_H3N2|unassigned|2013-08-01|HA|4|EPI_ISL_161143	Ohio
A/swine/Iowa/A01432271/2012|A_/_H3N2|unassigned|2012-12-01|HA|4|EPI_ISL_136567	Iowa
A/swine/Ohio/12TOSU333/2012|A_/_H3N2|unassigned|2012-08-03|HA|4|EPI_ISL_140904	Ohio
A/swine/Ohio/12TOSU409/2012|A_/_H3N2|unassigned|2012-08-06|HA|4|EPI_ISL_140914	Ohio
A/swine/Ohio/12TOSU439/2012|A_/_H3N2|unassigned|2012-08-06|HA|4|EPI_ISL_140913	Ohio
A/swine/Ohio/13TOSU2043/2013|A_/_H3N2|unassigned|2013-08-01|HA|4|EPI_ISL_161604	Ohio
A/swine/Indiana/A01260099/2012|A_/_H3N2|unassigned|2012-11-02|HA|4|EPI_ISL_132940	Indiana
A/swine/Ohio/13TOSU1547/2013|A_/_H3N2|unassigned|2013-08-01|HA|4|EPI_ISL_161680	Ohio
A/swine/Ohio/12TOSU307/2012|A_/_H3N2|unassigned|2012-08-03|HA|4|EPI_ISL_129360	Ohio
A/swine/Indiana/A00968394/2012|A_/_H3N2|unassigned|2012-08-06|HA|4|EPI_ISL_133714	Indiana
A/swine/Indiana/A00968398/2012|A_/_H3N2|unassigned|2012-08-06|HA|4|EPI_ISL_133712	Indiana
A/swine/Maryland/A01104048/2012|A_/_H3N2|unassigned|2012-08-16|HA|4|EPI_ISL_129868	Maryland
A/swine/Pennsylvania/A01104049/2012|A_/_H3N2|unassigned|2012-08-09|HA|4|EPI_ISL_131261	Pennsylvania
A/swine/Pennsylvania/A01104050/2012|A_/_H3N2|unassigned|2012-08-09|HA|4|EPI_ISL_133713	Pennsylvania
A/swine/Ohio/12TOSU308/2012|A_/_H3N2|unassigned|2012-08-03|HA|4|EPI_ISL_139855	Ohio
A/swine/Ohio/12TOSU325/2012|A_/_H3N2|unassigned|2012-08-03|HA|4|EPI_ISL_139859	Ohio
A/swine/Michigan/A01259003/2012|A_/_H3N2|unassigned|2012-11-28|HA|4|EPI_ISL_135960	Michigan
A/swine/Indiana/A00968380/2012|A_/_H3N2|unassigned|2012-07-18|HA|4|EPI_ISL_128502	Indiana
A/swine/Ohio/12TOSU52/2012|A_/_H3N2|unassigned|2012-06-22|HA|4|EPI_ISL_140919	Ohio
A/swine/Ohio/12TOSU50/2012|A_/_H3N2|unassigned|2012-06-22|HA|4|EPI_ISL_140920	Ohio
A/swine/Indiana/A01104016/2012|A_/_H3N2|unassigned|2012-07-31|HA|4|EPI_ISL_129191	Indiana
A/swine/Indiana/A01104023/2012|A_/_H3N2|unassigned|2012-07-31|HA|4|EPI_ISL_129290	Indiana
A/swine/Ohio/A01133464/2012|A_/_H3N2|unassigned|2012-08-03|HA|4|EPI_ISL_129874	Ohio
