name	date
A/swine/Ohio/10SW136/2010|A_/_H3N2|unassigned|2010-08-12|HA|4|EPI_ISL_133843	2010-08-12
A/swine/Ohio/10SW202/2010|A_/_H3N2|unassigned|2010-08-24|HA|4|EPI_ISL_133847	2010-08-24
A/swine/Ohio/10SW139/2010|A_/_H3N2|unassigned|2010-08-12|HA|4|EPI_ISL_133845	2010-08-12
A/swine/Ohio/10SW205/2010|A_/_H3N2|unassigned|2010-08-24|HA|4|EPI_ISL_133850	2010-08-24
A/swine/Ohio/10SW206/2010|A_/_H3N2|unassigned|2010-08-24|HA|4|EPI_ISL_133851	2010-08-24
A/swine/Ohio/10SW203/2010|A_/_H3N2|unassigned|2010-08-24|HA|4|EPI_ISL_133848	2010-08-24
A/swine/Ohio/10SW209/2010|A_/_H3N2|unassigned|2010-08-24|HA|4|EPI_ISL_133854	2010-08-24
A/swine/Ohio/10SW210/2010|A_/_H3N2|unassigned|2010-08-24|HA|4|EPI_ISL_133855	2010-08-24
A/swine/Ohio/10SW207/2010|A_/_H3N2|unassigned|2010-08-24|HA|4|EPI_ISL_133852	2010-08-24
A/swine/Ohio/10SW208/2010|A_/_H3N2|unassigned|2010-08-24|HA|4|EPI_ISL_133853	2010-08-24
A/swine/Ohio/10SW213/2010|A_/_H3N2|unassigned|2010-08-24|HA|4|EPI_ISL_133858	2010-08-24
A/swine/Ohio/10SW214/2010|A_/_H3N2|unassigned|2010-08-24|HA|4|EPI_ISL_133859	2010-08-24
A/swine/Ohio/10SW211/2010|A_/_H3N2|unassigned|2010-08-24|HA|4|EPI_ISL_133856	2010-08-24
A/swine/Ohio/10SW212/2010|A_/_H3N2|unassigned|2010-08-24|HA|4|EPI_ISL_133857	2010-08-24
A/swine/Ohio/10SW219/2010|A_/_H3N2|unassigned|2010-08-24|HA|4|EPI_ISL_133862	2010-08-24
A/swine/Ohio/10SW220/2010|A_/_H3N2|unassigned|2010-08-24|HA|4|EPI_ISL_133863	2010-08-24
A/swine/Ohio/10SW216/2010|A_/_H3N2|unassigned|2010-08-24|HA|4|EPI_ISL_133860	2010-08-24
A/swine/Ohio/10SW122/2010|A_/_H3N2|unassigned|2010-08-12|HA|4|EPI_ISL_133833	2010-08-12
A/swine/Ohio/10SW127/2010|A_/_H3N2|unassigned|2010-08-12|HA|4|EPI_ISL_133836	2010-08-12
A/swine/Ohio/10SW133/2010|A_/_H3N2|unassigned|2010-08-12|HA|4|EPI_ISL_133840	2010-08-12
A/swine/Ohio/10SW204/2010|A_/_H3N2|unassigned|2010-08-24|HA|4|EPI_ISL_133849	2010-08-24
A/swine/Ohio/11SW109/2011|A_/_H3N2|unassigned|2011-08-05|HA|4|EPI_ISL_133866	2011-08-05
A/swine/Ohio/11SW112/2011|A_/_H3N2|unassigned|2011-08-05|HA|4|EPI_ISL_133867	2011-08-05
A/swine/Ohio/11SW103/2011|A_/_H3N2|unassigned|2011-08-05|HA|4|EPI_ISL_133864	2011-08-05
A/swine/Ohio/11SW113/2011|A_/_H3N2|unassigned|2011-08-05|HA|4|EPI_ISL_133868	2011-08-05
A/swine/Ohio/11SW96/2011|A_/_H3N2|unassigned|2011-08-05|HA|4|EPI_ISL_133877	2011-08-05
A/swine/Ohio/11SW163/2011|A_/_H3N2|unassigned|2011-08-08|HA|4|EPI_ISL_133899	2011-08-08
A/swine/Ohio/11SW175/2011|A_/_H3N2|unassigned|2011-08-08|HA|4|EPI_ISL_133908	2011-08-08
A/swine/Ohio/11SW208/2011|A_/_H3N2|unassigned|2011-06-01|HA|4|EPI_ISL_142723	2011-06-01
A/swine/Ohio/11SW108/2011|A_/_H3N2|unassigned|2011-08-05|HA|4|EPI_ISL_133865	2011-08-05
A/swine/Ohio/11SW173/2011|A_/_H3N2|unassigned|2011-08-08|HA|4|EPI_ISL_133906	2011-08-08
A/swine/Ohio/11SW196/2011|A_/_H3N2|unassigned|2011-08-08|HA|4|EPI_ISL_133921	2011-08-08
A/swine/Ohio/11SW95/2011|A_/_H3N2|unassigned|2011-08-05|HA|4|EPI_ISL_133876	2011-08-05
A/swine/Ohio/11SW172/2011|A_/_H3N2|unassigned|2011-08-08|HA|4|EPI_ISL_133905	2011-08-08
A/swine/Ohio/11SW115/2011|A_/_H3N2|unassigned|2011-08-05|HA|4|EPI_ISL_133870	2011-08-05
A/swine/Ohio/11SW118/2011|A_/_H3N2|unassigned|2011-08-05|HA|4|EPI_ISL_133871	2011-08-05
A/swine/Ohio/11SW114/2011|A_/_H3N2|unassigned|2011-08-05|HA|4|EPI_ISL_133869	2011-08-05
A/swine/Ohio/11SW94/2011|A_/_H3N2|unassigned|2011-08-05|HA|4|EPI_ISL_133875	2011-08-05
A/swine/Ohio/11SW161/2011|A_/_H3N2|unassigned|2011-08-08|HA|4|EPI_ISL_133898	2011-08-08
A/swine/Ohio/11SW169/2011|A_/_H3N2|unassigned|2011-08-08|HA|4|EPI_ISL_133902	2011-08-08
A/swine/Ohio/11SW170/2011|A_/_H3N2|unassigned|2011-08-08|HA|4|EPI_ISL_133903	2011-08-08
A/swine/Ohio/11SW179/2011|A_/_H3N2|unassigned|2011-08-08|HA|4|EPI_ISL_133910	2011-08-08
A/swine/Ohio/11SW180/2011|A_/_H3N2|unassigned|2011-08-08|HA|4|EPI_ISL_133911	2011-08-08
A/swine/Ohio/11SW185/2011|A_/_H3N2|unassigned|2011-08-08|HA|4|EPI_ISL_133914	2011-08-08
A/swine/Ohio/11SW186/2011|A_/_H3N2|unassigned|2011-08-08|HA|4|EPI_ISL_133915	2011-08-08
A/swine/Ohio/11SW183/2011|A_/_H3N2|unassigned|2011-08-08|HA|4|EPI_ISL_133912	2011-08-08
A/swine/Ohio/11SW191/2011|A_/_H3N2|unassigned|2011-08-08|HA|4|EPI_ISL_133918	2011-08-08
